GHI,Festivo,Gas,PotenciaViento,Precios,Ano,Mes,Dia,Hora,GMT
1541,0,16.19,65858,40.72,2016,1,5,9,1
7127,0,16.19,67437,40.66,2016,1,5,10,1
10687,0,16.19,74009,40.33,2016,1,5,11,1
13346,0,16.19,80977,38.25,2016,1,5,12,1
13637,0,16.19,82148,36.98,2016,1,5,13,1
12186,0,16.19,85228,34.91,2016,1,5,14,1
10118,0,16.19,85393,33.33,2016,1,5,15,1
6578,0,16.19,84774,35.1,2016,1,5,16,1
2112,0,16.19,82013,38,2016,1,5,17,1
413,0,16.19,76829,42.94,2016,1,5,18,1
288,0,16.19,77018,42.92,2016,1,5,19,1
275,0,16.19,79042,38.35,2016,1,5,20,1
153,0,16.19,79986,34.42,2016,1,5,21,1
132,0,16.19,79772,32.99,2016,1,5,22,1
132,0,16.19,79572,32,2016,1,5,23,1
131,0,16,80816,18.11,2016,1,6,0,1
131,0,16,79828,12.4,2016,1,6,1,1
130,0,16,79241,7.88,2016,1,6,2,1
132,0,16,78066,7,2016,1,6,3,1
130,0,16,78503,6.5,2016,1,6,4,1
142,0,16,78975,6.5,2016,1,6,5,1
182,0,16,79915,7.2,2016,1,6,6,1
217,0,16,81768,11.11,2016,1,6,7,1
248,0,16,82290,12.1,2016,1,6,8,1
2411,0,16,80640,17.22,2016,1,6,9,1
6236,0,16,81859,18.89,2016,1,6,10,1
7885,0,16,84959,18.1,2016,1,6,11,1
9000,0,16,89067,13.34,2016,1,6,12,1
9051,0,16,91287,15,2016,1,6,13,1
8290,0,16,90847,13.1,2016,1,6,14,1
6807,0,16,89643,12.4,2016,1,6,15,1
4746,0,16,86418,12.4,2016,1,6,16,1
1583,0,16,84256,17.22,2016,1,6,17,1
252,0,16,81865,20.01,2016,1,6,18,1
194,0,16,83266,29.1,2016,1,6,19,1
188,0,16,84100,29.99,2016,1,6,20,1
146,0,16,83957,30.42,2016,1,6,21,1
138,0,16,84851,27.1,2016,1,6,22,1
138,0,16,83974,18.11,2016,1,6,23,1
138,0,16.24,83508,14.1,2016,1,7,0,1
138,0,16.24,81492,8,2016,1,7,1,1
132,0,16.24,76394,5.4,2016,1,7,2,1
119,0,16.24,73672,4.5,2016,1,7,3,1
118,0,16.24,71177,4,2016,1,7,4,1
119,0,16.24,75592,5,2016,1,7,5,1
119,0,16.24,81286,10,2016,1,7,6,1
125,0,16.24,84148,24.11,2016,1,7,7,1
146,0,16.24,86295,40.66,2016,1,7,8,1
841,0,16.24,86365,41.93,2016,1,7,9,1
2481,0,16.24,86218,41.62,2016,1,7,10,1
4525,0,16.24,86210,41.5,2016,1,7,11,1
5816,0,16.24,85510,40.66,2016,1,7,12,1
6756,0,16.24,84645,40.33,2016,1,7,13,1
6915,0,16.24,84235,36.51,2016,1,7,14,1
5970,0,16.24,82241,33.49,2016,1,7,15,1
4161,0,16.24,80442,34.19,2016,1,7,16,1
1539,0,16.24,80577,40.66,2016,1,7,17,1
222,0,16.24,80113,40.8,2016,1,7,18,1
138,0,16.24,81070,42.1,2016,1,7,19,1
134,0,16.24,82985,36.5,2016,1,7,20,1
117,0,16.24,82371,34.5,2016,1,7,21,1
113,0,16.24,82982,33.49,2016,1,7,22,1
114,0,16.24,82033,28.76,2016,1,7,23,1
114,0,16.54,77650,24.36,2016,1,8,0,1
113,0,16.54,77458,19.33,2016,1,8,1,1
114,0,16.54,77013,16.1,2016,1,8,2,1
114,0,16.54,73187,15,2016,1,8,3,1
112,0,16.54,68158,15,2016,1,8,4,1
113,0,16.54,64466,18.14,2016,1,8,5,1
113,0,16.54,62761,25.21,2016,1,8,6,1
119,0,16.54,61377,36.46,2016,1,8,7,1
173,0,16.54,59170,39.53,2016,1,8,8,1
2050,0,16.54,61371,37.69,2016,1,8,9,1
5928,0,16.54,62606,37.66,2016,1,8,10,1
8763,0,16.54,63631,36.91,2016,1,8,11,1
10284,0,16.54,64760,36.13,2016,1,8,12,1
9974,0,16.54,69554,36.13,2016,1,8,13,1
8646,0,16.54,75072,32.99,2016,1,8,14,1
6226,0,16.54,72444,32.08,2016,1,8,15,1
3591,0,16.54,68570,37.16,2016,1,8,16,1
1193,0,16.54,63481,45,2016,1,8,17,1
233,0,16.54,61636,46.97,2016,1,8,18,1
168,0,16.54,58722,48.24,2016,1,8,19,1
166,0,16.54,57191,49.21,2016,1,8,20,1
130,0,16.54,55014,48.57,2016,1,8,21,1
120,0,16.54,54608,40.19,2016,1,8,22,1
114,0,16.54,58030,36.1,2016,1,8,23,1
114,0,16.73,58910,31.11,2016,1,9,0,1
114,0,16.73,59388,29,2016,1,9,1,1
111,0,16.73,58029,24.3,2016,1,9,2,1
108,0,16.73,57156,23.23,2016,1,9,3,1
107,0,16.73,57338,21.96,2016,1,9,4,1
108,0,16.73,56118,22.45,2016,1,9,5,1
107,0,16.73,55013,23.07,2016,1,9,6,1
117,0,16.73,55364,24.03,2016,1,9,7,1
121,0,16.73,58698,29,2016,1,9,8,1
1019,0,16.73,59196,36.13,2016,1,9,9,1
4900,0,16.73,60443,36.13,2016,1,9,10,1
8405,0,16.73,64258,35.76,2016,1,9,11,1
10626,0,16.73,70466,32.01,2016,1,9,12,1
12079,0,16.73,79180,31.54,2016,1,9,13,1
